repository_language,cntlang
JavaScript,501061
Java,373982
Ruby,357261
Python,285941
PHP,269825
C++,178952
C,178657
Shell,82313
C#,66009
Objective-C,49962
VimL,45981
Perl,40704
Scala,22691
Emacs Lisp,18274
CoffeeScript,17750
Haskell,17551
Clojure,13040
Lua,12199
ActionScript,9635
Erlang,8839
Go,8823
Groovy,7987
Matlab,7728
R,7459
Puppet,5794
OCaml,4617
D,3978
Common Lisp,3469
Assembly,2879
Delphi,2864
Scheme,2519
Arduino,2005
Rust,1898
Racket,1693
Prolog,1655
HaXe,1615
VHDL,1593
FORTRAN,1574
Verilog,1536
ColdFusion,1427
Visual Basic,1350
Tcl,1284
F#,1051
ASP,912
Dart,808
Standard ML,803
Objective-J,756
Vala,663
Smalltalk,651
PowerShell,598
DCPU-16 ASM,555
Elixir,536
Eiffel,482
Powershell,475
Scilab,460
AutoHotkey,449
Ada,429
SuperCollider,417
Coq,400
Julia,312
OpenEdge ABL,309
Apex,268
Pure Data,249
XQuery,209
Factor,191
Parrot,179
Nemerle,175
ooc,142
Io,139
Dylan,108
Kotlin,106
Turing,96
Nimrod,93
Modelica,93
Boo,91
Opa,81
Fancy,77
Ioke,76
Arc,69
Max/MSP,66
Gosu,64
Rebol,44
Bro,24
Logtalk,24
Self,12
Fantom,11
Augeas,10
Mirah,9
DCPU-16 Assembly,2
Nu,1
