repository_language,cntlang
JavaScript,1041
Java,819
Ruby,792
Python,530
PHP,457
C,418
C++,399
Shell,175
C#,153
VimL,135
Objective-C,129
Haskell,72
Perl,68
CoffeeScript,58
Lua,46
Scala,36
ActionScript,36
Emacs Lisp,25
Go,21
Clojure,21
Matlab,20
Assembly,15
Erlang,12
Common Lisp,10
Prolog,9
Groovy,9
OCaml,9
VHDL,8
D,7
R,5
Puppet,5
Scheme,5
F#,3
Arduino,3
HaXe,3
Ada,2
Delphi,2
ASP,2
Verilog,2
ooc,2
Racket,2
OpenEdge ABL,1
Pure Data,1
Nimrod,1
Vala,1
FORTRAN,1
Apex,1
DCPU-16 ASM,1
Factor,1
SuperCollider,1
Scilab,1
Visual Basic,1
ColdFusion,1
